n,N,depth,method,trace,trace_budget,time_s,evals
4,16,3,classical,0.01740104853284392,0.05578864798568979,3.0272672281134874,2000
4,16,3,SD,0.09557178360793867,0.09557178360793867,27.048202805919573,149
4,16,3,FD,0.18117583837734003,0.18117583837734003,15.324143840931356,168
5,32,4,classical,0.048284481455876715,0.14149475036913303,4.276955251116306,2000
5,32,4,SD,0.3354857897046213,0.3354857897046213,66.48110656393692,292
5,32,4,FD,0.48099847670982165,0.48099847670982165,26.03387589380145,280
6,64,6,classical,0.29014560620705,0.46760392986681387,6.2941960650496185,2000
6,64,6,SD,0.5351264956215196,0.5351264956215196,121.56305903196335,439
6,64,6,FD,0.9621571071911348,0.9621571071911348,53.30401685391553,557
