nx,ny,grid,depth,method,trace,trace_budget,time_s,evals
2,2,4x4,3,classical,0.000676161062543023,0.1473971943218989,1.3826091820374131,942
2,2,4x4,3,SD,0.3371879633001805,0.3371879633001805,27.571960671106353,153
2,2,4x4,3,FD,0.45469197485164325,0.45469197485164325,24.843414136907086,140
3,3,8x8,4,classical,0.0019238161944500549,0.21620229586372286,4.773791981860995,2000
3,3,8x8,4,SD,0.39078575818954897,0.39078575818954897,123.17668146896176,456
3,3,8x8,4,FD,0.5146214609436426,0.5146214609436426,53.13283057115041,292
4,4,16x16,6,classical,0.18344055767309758,0.5043455715677813,8.598218251951039,2000
4,4,16x16,6,SD,0.8324907783779794,0.8324907783779794,222.42984790401533,600
4,4,16x16,6,FD,0.9574980540431333,0.9574980540431333,109.82963033509441,582
