cost,L2,trace
2.089409205935479186e+00,7.413675731025188842e-01,9.950417176190063939e-01
1.817094910476786840e+00,7.807260669881076476e-01,9.923756962289297379e-01
1.582501729596750728e+00,7.943266437958423909e-01,9.902799758779745609e-01
1.381949160757386608e+00,7.876581555374619903e-01,9.887332993667784509e-01
1.212156515081991737e+00,7.952859066094730700e-01,9.876552430854433906e-01
1.067895738340729483e+00,8.103661263860115760e-01,9.869044202882696348e-01
9.415419751403093507e-01,8.180178635933649245e-01,9.864553806275767611e-01
8.267439514713976756e-01,8.164204105468670924e-01,9.863775630965212482e-01
7.213888402117502041e-01,8.176464087473489517e-01,9.865642656538032851e-01
6.263637838326387985e-01,8.216747370775999704e-01,9.868144983870086318e-01
5.440905197941214855e-01,8.264391815930700602e-01,9.870802971915129120e-01
4.763238351048711960e-01,8.348754938274458581e-01,9.871962918977144064e-01
4.226104435154546812e-01,8.455845572401416987e-01,9.870264326995885629e-01
3.804566606209367485e-01,8.576289790253450729e-01,9.862884886232230475e-01
3.470273387579811408e-01,8.729389983033825073e-01,9.847751077623236871e-01
3.198252298005430094e-01,8.864468554628783803e-01,9.823669519692459495e-01
2.969075342961738917e-01,8.984953063414528041e-01,9.791110027310729880e-01
2.768260036816976855e-01,9.160612961418044264e-01,9.750315774015005932e-01
2.582488366262699064e-01,9.322467925221905594e-01,9.702481077919657970e-01
2.391900860710174381e-01,9.474175066764829456e-01,9.647203951104522668e-01
2.186450633152003942e-01,9.611536325533747149e-01,9.586327883711870390e-01
1.971016362479477979e-01,9.763552542818123570e-01,9.522127825392422418e-01
1.758630063430204893e-01,9.906661117425356045e-01,9.456450585179475565e-01
1.566501314328367367e-01,1.001765535613453384e+00,9.390282800520729500e-01
1.410717422593775194e-01,1.001380797042846105e+00,9.322989585881650276e-01
1.301057391770130689e-01,9.968365409365157470e-01,9.253740606580176387e-01
1.238400376162055727e-01,9.917342539239351051e-01,9.178912227550471981e-01
1.212992555549689405e-01,9.818817560238644049e-01,9.094896330920854144e-01
1.205728647578218349e-01,9.695289085747474944e-01,8.997463090661436125e-01
1.193530833484030274e-01,9.538603783893977450e-01,8.882577519591501325e-01
1.159168844731950088e-01,9.335093063297568161e-01,8.748393616710898879e-01
1.097051871983659721e-01,9.103818862913585219e-01,8.594274226716180909e-01
1.011647267932726663e-01,8.846653092100023041e-01,8.420123364110907449e-01
9.125161301043600848e-02,8.567935704015405829e-01,8.226852960783463953e-01
8.122463948822462865e-02,8.282881756222811864e-01,8.016928221506759433e-01
7.227494169475576213e-02,8.002045252772952422e-01,7.794218444410372371e-01
6.514104241070316215e-02,7.729442640538238818e-01,7.560510863270271109e-01
6.002745473008391092e-02,7.474307773003222577e-01,7.319354550876413512e-01
5.656009159600614705e-02,7.220390236850415810e-01,7.076183547813456043e-01
5.394591187934337506e-02,7.000837235236092582e-01,6.833437423733444982e-01
5.132902930193600222e-02,6.817167459195684343e-01,6.592986666807096885e-01
4.826315461089607933e-02,6.652710313879318660e-01,6.356690224735728201e-01
4.481480259323705750e-02,6.456054261108644665e-01,6.125696734614910488e-01
4.144957029146332378e-02,6.206959295259995013e-01,5.900478437985662294e-01
3.867688881604573747e-02,5.953087145456021911e-01,5.683255763142781580e-01
3.662537683602213462e-02,5.710355130565383242e-01,5.472652571558476176e-01
3.514894694077279336e-02,5.478848877268782669e-01,5.269261473507421689e-01
3.403544352058598954e-02,5.257337461215993990e-01,5.072448013560172386e-01
3.308545111904091091e-02,5.043885878419993585e-01,4.880850431247549803e-01
3.209665043783896388e-02,4.838360021220042273e-01,4.694644748866754758e-01
3.085042766923203755e-02,4.638532246239790990e-01,4.512054716030970414e-01
2.929540787837710616e-02,4.447295413358236527e-01,4.335950889752003823e-01
2.757589248435320106e-02,4.264754382343159955e-01,4.166666505106140228e-01
2.589660013653959786e-02,4.088929616540794010e-01,4.002668035883664710e-01
2.438435872852571726e-02,3.920319820881698059e-01,3.844988384246648683e-01
2.297979716467080796e-02,3.759735833538533911e-01,3.694049052093089647e-01
2.154231891769981672e-02,3.605139933961184484e-01,3.547951881116515604e-01
1.997218986330397128e-02,3.456598032582536284e-01,3.406695598984188500e-01
1.828524391564700924e-02,3.314435043088592159e-01,3.270577947342806491e-01
1.656758366626549100e-02,3.179158683345469916e-01,3.140101431932466047e-01
1.491354763158636229e-02,3.052260185255531444e-01,3.016757141248537222e-01
1.629653653403494162e-02,3.084651836560244886e-01,3.047742644852173277e-01
1.275388873374754851e-02,2.882384295791233786e-01,2.852293162530521453e-01
1.234578926199885601e-02,2.715685248944675889e-01,2.690533736340333104e-01
1.161364114688284190e-02,2.553214555429205723e-01,2.532323888092177788e-01
9.929837418631941998e-03,2.359719578690661346e-01,2.343237553553149943e-01
8.692781485287284435e-03,2.165614465903799302e-01,2.152881426797371989e-01
8.163108135908271265e-03,1.983188668042615288e-01,1.973414638939634813e-01
7.800827977839283264e-03,1.804559897230604837e-01,1.797199342659350774e-01
7.156811122989282722e-03,1.625506909772914954e-01,1.620129223545218322e-01
6.337196455255036595e-03,1.457298663972160513e-01,1.453424898586957725e-01
5.793837196818581864e-03,1.315377879914564896e-01,1.312529932148021050e-01
5.587712574523241368e-03,1.205702962142122386e-01,1.203510025297067354e-01
5.464927982413143523e-03,1.120676576834138682e-01,1.118915849128417767e-01
5.208160529896657676e-03,1.053394418582228736e-01,1.051932293391406037e-01
