seed,classical,SD,FD
1,0.017420468138076645,0.021596541186361694,0.023010494411960212
3,0.061883984373082984,0.03494637988396224,0.0619454335807423
8,0.014790938915775565,0.025925795586484498,0.01818521174592645
9,0.117563830735379,0.11866153059768923,0.13226991841198182
10,0.056177554463155005,0.04353422835969113,0.052412512991086076
11,0.009720847021194093,0.016630226868977686,0.00848168109812437
