cost,L2,trace
5.399510007965226954e-01,7.475375104383104041e-01,8.535260354773335223e-01
4.325472266505216989e-01,7.549532926480841954e-01,8.303191491096861832e-01
3.535442845051071092e-01,7.677179610362031559e-01,8.065789206607183459e-01
2.971023563297247039e-01,7.735126531770870617e-01,7.796999812350060566e-01
2.565522365300311192e-01,7.694623531715903964e-01,7.499204130918916134e-01
2.259204601536169976e-01,7.412101529411565526e-01,7.162902174060525873e-01
2.007325230183338305e-01,7.010628884461029831e-01,6.786074290527898123e-01
1.776454672147183000e-01,6.595310505862818085e-01,6.381903588072770361e-01
1.561765576609924489e-01,6.174335867224247654e-01,5.972595293876015177e-01
1.369403456576477329e-01,5.739564518068274168e-01,5.576441197626996749e-01
1.200820173124350909e-01,5.334098386466619157e-01,5.200648501940033919e-01
1.051235168206457182e-01,4.958372134919173391e-01,4.842651239648515515e-01
9.173740394757204375e-02,4.591438265164672905e-01,4.497737196165014772e-01
8.010435745109198424e-02,4.240030860816040303e-01,4.164275745872936807e-01
7.035594369472150666e-02,3.910754847212555285e-01,3.842831079027952401e-01
6.191221447859143051e-02,3.591437650608487742e-01,3.533058309498651739e-01
5.369176509540021791e-02,3.276845966744553751e-01,3.232564452592953663e-01
4.511813540439556236e-02,2.972293809774555484e-01,2.939287017136215652e-01
3.665290173197857659e-02,2.679539636251208612e-01,2.655382096733986397e-01
2.934301625904048305e-02,2.406225919061094343e-01,2.388747610709845981e-01
2.400883944753077343e-02,2.163520630927281418e-01,2.150824561693084891e-01
2.076977786171352314e-02,1.961927931242627987e-01,1.952465390829956904e-01
1.914666869986676387e-02,1.808459867739705407e-01,1.801051421963385524e-01
1.851416461759307699e-02,1.706327184436563504e-01,1.700105766128624241e-01
1.854476103488212485e-02,1.656267638031997946e-01,1.650578478817212591e-01
1.923229898490626255e-02,1.654248860614159489e-01,1.648580502914554768e-01
2.047395408856813800e-02,1.684730031113109150e-01,1.678742146279421366e-01
2.176690716891489449e-02,1.720173918081174813e-01,1.713799618092287369e-01
2.248274131466629355e-02,1.732492496867710230e-01,1.725980096082554427e-01
2.241609775730124890e-02,1.706476980101492846e-01,1.700253921146097080e-01
2.187480133680254693e-02,1.643578097582126807e-01,1.638018848274949979e-01
2.120391205069732318e-02,1.555567794342783694e-01,1.550855470254231538e-01
2.038007029399162284e-02,1.455469515667678349e-01,1.451610331512123986e-01
1.915053403682636171e-02,1.352955132833870977e-01,1.349855873567723241e-01
1.747066421046450727e-02,1.255765184886563912e-01,1.253287397719401730e-01
1.567623884655803060e-02,1.172370583151594176e-01,1.170354639884400166e-01
1.421957077614244801e-02,1.110729289166132311e-01,1.109015055789526194e-01
1.330653223793794131e-02,1.073833874597559940e-01,1.072284934411573409e-01
1.282240651849494983e-02,1.057645785967191027e-01,1.056165878055046747e-01
1.255914240291593556e-02,1.053890204508993733e-01,1.052426012916272829e-01
1.243077007053946387e-02,1.053501723105357418e-01,1.052039150841709569e-01
1.245996571959298235e-02,1.047507231160726970e-01,1.046069494835106806e-01
1.263563548976126202e-02,1.027474226161582821e-01,1.026117445451153048e-01
1.285241717295557487e-02,9.878323782039497014e-02,9.866267180855475827e-02
1.298208509589819301e-02,9.287111880663484476e-02,9.277093757929245899e-02
1.296279240698313198e-02,8.565308873415165836e-02,8.557450396668694892e-02
1.280931637463765364e-02,7.814307328653288809e-02,7.808340448464069772e-02
1.256266969420608351e-02,7.130938468434087907e-02,7.126404398954261366e-02
1.225304722454340946e-02,6.578675058223400207e-02,6.575115116883412103e-02
1.190505619975544549e-02,6.187933819120824269e-02,6.184971369561932664e-02
1.155492556428856787e-02,5.967837632454447289e-02,5.965180227667161994e-02
1.124903402533498908e-02,5.902885422577291985e-02,5.900313856530723516e-02
1.102471873903831251e-02,5.940504729874548917e-02,5.937883676465034039e-02
1.088983798117731418e-02,5.995929600599782250e-02,5.993234486197161065e-02
1.081517177145057546e-02,5.979311976695816239e-02,5.976639211973177462e-02
1.075077205952406495e-02,5.828755734863846211e-02,5.826279853517073865e-02
1.066297237926381800e-02,5.533841923412165936e-02,5.531723204189441245e-02
1.056010859695671704e-02,5.139458330620892690e-02,5.137761127681645529e-02
1.047510458348136116e-02,4.724596063667271112e-02,4.723277610626948342e-02
1.042092906331168467e-02,4.363199769677587186e-02,4.362161340243377039e-02
1.037395314696981652e-02,4.096758554693240989e-02,4.095898993729561038e-02
1.357784995657477373e-02,7.034315347802190532e-02,7.029963137359443448e-02
1.060366773412901864e-02,5.867578573951150872e-02,5.865052882839033588e-02
1.092305997066896940e-02,5.417012307378742814e-02,5.415024981208865773e-02
1.174694581949053962e-02,5.258371658309925895e-02,5.256553888355147003e-02
1.132545944113771963e-02,4.888685216755990492e-02,4.887224550085243063e-02
1.042487012476536398e-02,4.492606629822887276e-02,4.491473029425037400e-02
1.007377441264305576e-02,4.617561962977188850e-02,4.616331110241626151e-02
