theta
-3.171643135268929825e+00
-9.320257323004145222e-01
-9.803083748818325338e-02
-1.549133111893411074e+00
-3.929233028513190451e+00
-3.167218199413216251e+00
-2.263098733324215572e-01
-2.758253499368317208e-01
-2.927077826459832721e+00
1.162462430931017893e-01
3.163034529885300206e+00
9.883376093594691270e-01
3.016243546298133626e+00
3.374581097085732617e-01
-2.775442390691730488e+00
-1.564657271219209056e+00
1.587895747556584691e+00
-1.663793726239895188e+00
-3.612178889273223614e+00
3.975280971526279128e+00
