rho
1.692664087856148546e-03
1.941643384877555882e-03
7.609979242399658728e-03
6.394567266912966862e-03
1.459991891140621431e-02
1.648633139217613175e-02
2.958527147791052345e-02
2.975625363642545734e-02
3.851570282576866067e-02
3.878875990214773750e-02
4.908280057489661230e-02
4.361491618770321765e-02
5.037876284335999350e-02
5.272487171247471072e-02
5.659939187053499715e-02
5.753434376801946221e-02
5.748120610829374894e-02
5.999423196761304727e-02
5.758737892427514410e-02
5.295033352873662613e-02
4.287343721559028903e-02
4.651684463175114609e-02
3.796536763297365252e-02
4.017922291075651936e-02
3.092229734246482523e-02
3.039287430514614474e-02
1.603189934005120817e-02
1.516936646708831431e-02
6.347834166751051450e-03
6.555898070550664376e-03
1.736381642239534073e-03
1.989246660848201752e-03
