theta
-3.023090876029349783e+00
-1.136303700391485982e+00
7.406344783241648466e-01
-1.733423261640717028e+00
-3.087455752195197967e+00
-3.040072249784312675e+00
-9.036043501829181812e-01
-9.282357224997366263e-01
-4.265368463258115028e+00
-1.197821484995541752e+00
3.116786487269377126e+00
7.686474861288703497e-01
3.841216478591039873e+00
3.002417514968191981e+00
1.146815319140503497e+00
-1.575302605484446117e+00
1.554391650038762007e+00
-7.335759088185210830e-01
-3.250247861250274983e+00
8.324291129643317522e-01
